,Bandit,Reward,Algorithm
0,0,2.404571793722946,Epsilon Greedy
1,0,0.7043439047527682,Epsilon Greedy
2,0,-1.022717011904993,Epsilon Greedy
3,0,0.8680437077407298,Epsilon Greedy
4,0,1.3115917234527594,Epsilon Greedy
5,0,0.9598863179630426,Epsilon Greedy
6,0,-0.6761388454991344,Epsilon Greedy
7,0,2.0393815391881445,Epsilon Greedy
8,0,1.4201848905605536,Epsilon Greedy
9,0,0.7860200686416402,Epsilon Greedy
10,0,2.773600590691196,Epsilon Greedy
11,0,2.557665466634207,Epsilon Greedy
12,0,-0.24969512573865815,Epsilon Greedy
13,0,0.8227876571577064,Epsilon Greedy
14,0,1.214565597740786,Epsilon Greedy
15,0,0.6352413392081921,Epsilon Greedy
16,0,0.11949782692528843,Epsilon Greedy
17,0,1.1980962183505426,Epsilon Greedy
18,0,1.792048886377969,Epsilon Greedy
19,0,0.5775863784785604,Epsilon Greedy
20,0,0.4677939076824865,Epsilon Greedy
21,0,1.080972273701067,Epsilon Greedy
22,0,0.4764261257972605,Epsilon Greedy
23,0,1.4485594365957166,Epsilon Greedy
24,0,2.532399116571119,Epsilon Greedy
25,0,1.657559519562032,Epsilon Greedy
26,0,2.6664890803577643,Epsilon Greedy
27,0,2.1820040121512467,Epsilon Greedy
28,0,-0.7753255129453525,Epsilon Greedy
29,0,2.134411678062495,Epsilon Greedy
30,0,3.2094345757209584,Epsilon Greedy
31,0,1.8042896026094817,Epsilon Greedy
32,0,0.1514898125937284,Epsilon Greedy
33,0,1.7072674176046965,Epsilon Greedy
34,1,2.277082665266179,Epsilon Greedy
35,1,0.5912707256426175,Epsilon Greedy
36,1,2.7868891581987363,Epsilon Greedy
37,1,1.9455827620744164,Epsilon Greedy
38,1,3.1409074443975644,Epsilon Greedy
39,1,2.7917254924579793,Epsilon Greedy
40,1,3.2989523200476305,Epsilon Greedy
41,1,3.262386758549154,Epsilon Greedy
42,1,1.8462135763454883,Epsilon Greedy
43,1,5.0928496737856666,Epsilon Greedy
44,1,-0.052473072984218216,Epsilon Greedy
45,1,1.9224647264488417,Epsilon Greedy
46,1,0.8213899323623317,Epsilon Greedy
47,1,-0.0596210235265584,Epsilon Greedy
48,1,1.8988564449223626,Epsilon Greedy
49,1,2.8178831502339197,Epsilon Greedy
50,1,0.620069391201584,Epsilon Greedy
51,1,0.19163269141313033,Epsilon Greedy
